title,author,strings,neil,stretch,iain,jethro,picker,date
Gates of Fire,Steven Pressfield,7,7.5,5.3,,,NEIL,Jul-12
Zen and the Art of Motorcycle Maintenance,Robert Persig,3,7,7.6,,4,STRETCH,Aug-12
Solar,Ian McEwan,5.8,4,5.7,,6,JETHRO,Sep-12
Watching the Dark,Peter Robinson,6.2,3.5,3,,3.5,STRINGS,Oct-12
Enigma,Robert Harris,5.9,7.8,5.5,,6.5,NEIL,Nov-12
Book Thief,Marcus Zusak,5.5,8.5,8.4,,8,STRETCH,Dec-12
Litigators,John Grisham,6.5,3.8,3.3,,6.2,JETHRO,Jan-13
Phantom,Jo Nesbo,6.6,5,5.5,,6.5,STRINGS,Feb-13
Bring Up the Bodies,Hilary Mantel,2.8,8,5.7,,,NEIL,Mar-13
Hangover Square,Patrick Hamilton,6.8,5,5.9,6.7,5.6,STRETCH,Apr-13
Thinking Fast and Slow,Daniel Kahnemen,3.8,5.5,7,6.8,,JETHRO,May-13
Lancaster, Leo McKinstry,4.5,3,2,7,6,IAIN,Jun-13
And the Mountains Echoed, Khaled Hosseini,5.7,,6.4,8,7,STRINGS,Jul-13
Fight Club,Chuck Palahniuk,6.5,4,5.5,,6,STRETCH,Aug-13
The Lady with the Lap Dog,Anton Chekov,4.8,6,5.9,5,5,JETHRO,Sep-13
Dominion,CJ Sansom,7,7,5.8,8,7,IAIN,Oct-13
Therese Raquin,Emile Zola,6.2,5,5.6,7,5.5,STRINGS,Nov-13
White Queen,Philippa Gregory,5.2,9,2.1,7,7,NEIL,Dec-13
Stoner, John Williams,7,6.9,7.4,9,7.4,STRETCH,Jan-14
Emperor: The Blood of Gods,Conn Iggulden,5.6,4.4,2.5,4,6.7,JETHRO,Feb-14
Ashenden,Somerset Maugham,6,,4.1,6.5,6,STRINGS,Mar-14
Short Stories,Dylan Thomas,5.8,,4,8,4,IAIN,Apr-14
Goldfinch,Donna Tart,7,,7.3,7.5,7.5,NEIL,May-14
Dirt Music,Tim Winton,4,,7.2,6.8,7.5,STRETCH,Oct-14
Entry Island,Peter May,6.9,,6.9,7,7,JETHRO,Nov-14
Want You Dead,peter James,4,,1,2,1,STRINGS,Dec-14
Farenheit 451,Ray Bradbury,5.8,,4.5,7,6.5,IAIN,Jan-15
Post Office,Charles Bukowski,5.8,,5,6.5,6.8,STRETCH,Feb-15
Unbroken,Laura Hillenbrand,6.8,,6.9,8,7.8,JETHRO,Mar-15
Hail Mary Celeste,Malcolm Pryce,6.2,,5,6.5,7.5,STRINGS,Apr-15
Brighton Rock,Graham Greene,8.1,,7,7,6.5,IAIN,May-15
I am Pilgrim,Terry Hayes,9.5,,6,5,5,STRETCH,Jun-15
H is for Hawk,Helen McDonald,4.8,,2,7.5,6,JETHRO,Jul-15
Oblivion,Arnaldur Ingridson,5.9,,4.5,7,5,STRINGS,Aug-15
Catch 22,Joseph Heller,4.2,,10,6.7,7.5,STRETCH,Oct-15
Thirteen Ways of Looking,Colum McCann,6.6,,6.5,7.5,8,JETHRO,Nov-15
Three Men in a Boat,Jerome K Jerome,8.5,,7.9,8.5,7.5,IAIN,Dec-15
Murder for Xmas,Francis Duncan,,,,,,STRINGS,Jan-16
